Time,CORE_ZN ZN:TAMPA-MACDILL.AFB_FL_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CORE_ZN ZN:TAMPA-MACDILL.AFB_FL_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],CORE_ZN ZN:TAMPA-MACDILL.AFB_FL_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CORE_ZN ZN:TAMPA-MACDILL.AFB_FL_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],CORE_ZN ZN::Des Latent Heat Load [W],CORE_ZN ZN::Des Latent Cool Load [W],CORE_ZN ZN::Des Latent Heat Mass Flow [kg/s],CORE_ZN ZN::Des Latent Cool Mass Flow [kg/s],CORE_ZN ZN::Des Heat Load No DOAS [W],CORE_ZN ZN::Des Sens Cool Load No DOAS [W],CORE_ZN ZN::Des Latent Heat Load No DOAS [W],CORE_ZN ZN::Des Latent Cool Load No DOAS [W],CORE_ZN ZN:TAMPA-MACDILL.AFB_FL_USA ANN HTG 99.6% CONDNS DB:Heating Zone Temperature [C],CORE_ZN ZN:TAMPA-MACDILL.AFB_FL_USA ANN HTG 99.6% CONDNS DB:Heating Zone Relative Humidity [%],CORE_ZN ZN:TAMPA-MACDILL.AFB_FL_USA ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Temperature [C],CORE_ZN ZN:TAMPA-MACDILL.AFB_FL_USA ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Relative Humidity [%],PERIMETER_ZN_1 ZN:TAMPA-MACDILL.AFB_FL_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_1 ZN:TAMPA-MACDILL.AFB_FL_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_1 ZN:TAMPA-MACDILL.AFB_FL_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_1 ZN:TAMPA-MACDILL.AFB_FL_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_1 ZN::Des Latent Heat Load [W],PERIMETER_ZN_1 ZN::Des Latent Cool Load [W],PERIMETER_ZN_1 ZN::Des Latent Heat Mass Flow [kg/s],PERIMETER_ZN_1 ZN::Des Latent Cool Mass Flow [kg/s],PERIMETER_ZN_1 ZN::Des Heat Load No DOAS [W],PERIMETER_ZN_1 ZN::Des Sens Cool Load No DOAS [W],PERIMETER_ZN_1 ZN::Des Latent Heat Load No DOAS [W],PERIMETER_ZN_1 ZN::Des Latent Cool Load No DOAS [W],PERIMETER_ZN_1 ZN:TAMPA-MACDILL.AFB_FL_USA ANN HTG 99.6% CONDNS DB:Heating Zone Temperature [C],PERIMETER_ZN_1 ZN:TAMPA-MACDILL.AFB_FL_USA ANN HTG 99.6% CONDNS DB:Heating Zone Relative Humidity [%],PERIMETER_ZN_1 ZN:TAMPA-MACDILL.AFB_FL_USA ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Temperature [C],PERIMETER_ZN_1 ZN:TAMPA-MACDILL.AFB_FL_USA ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Relative Humidity [%],PERIMETER_ZN_2 ZN:TAMPA-MACDILL.AFB_FL_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_2 ZN:TAMPA-MACDILL.AFB_FL_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_2 ZN:TAMPA-MACDILL.AFB_FL_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_2 ZN:TAMPA-MACDILL.AFB_FL_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_2 ZN::Des Latent Heat Load [W],PERIMETER_ZN_2 ZN::Des Latent Cool Load [W],PERIMETER_ZN_2 ZN::Des Latent Heat Mass Flow [kg/s],PERIMETER_ZN_2 ZN::Des Latent Cool Mass Flow [kg/s],PERIMETER_ZN_2 ZN::Des Heat Load No DOAS [W],PERIMETER_ZN_2 ZN::Des Sens Cool Load No DOAS [W],PERIMETER_ZN_2 ZN::Des Latent Heat Load No DOAS [W],PERIMETER_ZN_2 ZN::Des Latent Cool Load No DOAS [W],PERIMETER_ZN_2 ZN:TAMPA-MACDILL.AFB_FL_USA ANN HTG 99.6% CONDNS DB:Heating Zone Temperature [C],PERIMETER_ZN_2 ZN:TAMPA-MACDILL.AFB_FL_USA ANN HTG 99.6% CONDNS DB:Heating Zone Relative Humidity [%],PERIMETER_ZN_2 ZN:TAMPA-MACDILL.AFB_FL_USA ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Temperature [C],PERIMETER_ZN_2 ZN:TAMPA-MACDILL.AFB_FL_USA ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Relative Humidity [%],PERIMETER_ZN_3 ZN:TAMPA-MACDILL.AFB_FL_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_3 ZN:TAMPA-MACDILL.AFB_FL_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_3 ZN:TAMPA-MACDILL.AFB_FL_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_3 ZN:TAMPA-MACDILL.AFB_FL_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_3 ZN::Des Latent Heat Load [W],PERIMETER_ZN_3 ZN::Des Latent Cool Load [W],PERIMETER_ZN_3 ZN::Des Latent Heat Mass Flow [kg/s],PERIMETER_ZN_3 ZN::Des Latent Cool Mass Flow [kg/s],PERIMETER_ZN_3 ZN::Des Heat Load No DOAS [W],PERIMETER_ZN_3 ZN::Des Sens Cool Load No DOAS [W],PERIMETER_ZN_3 ZN::Des Latent Heat Load No DOAS [W],PERIMETER_ZN_3 ZN::Des Latent Cool Load No DOAS [W],PERIMETER_ZN_3 ZN:TAMPA-MACDILL.AFB_FL_USA ANN HTG 99.6% CONDNS DB:Heating Zone Temperature [C],PERIMETER_ZN_3 ZN:TAMPA-MACDILL.AFB_FL_USA ANN HTG 99.6% CONDNS DB:Heating Zone Relative Humidity [%],PERIMETER_ZN_3 ZN:TAMPA-MACDILL.AFB_FL_USA ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Temperature [C],PERIMETER_ZN_3 ZN:TAMPA-MACDILL.AFB_FL_USA ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Relative Humidity [%],PERIMETER_ZN_4 ZN:TAMPA-MACDILL.AFB_FL_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_4 ZN:TAMPA-MACDILL.AFB_FL_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_4 ZN:TAMPA-MACDILL.AFB_FL_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_4 ZN:TAMPA-MACDILL.AFB_FL_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_4 ZN::Des Latent Heat Load [W],PERIMETER_ZN_4 ZN::Des Latent Cool Load [W],PERIMETER_ZN_4 ZN::Des Latent Heat Mass Flow [kg/s],PERIMETER_ZN_4 ZN::Des Latent Cool Mass Flow [kg/s],PERIMETER_ZN_4 ZN::Des Heat Load No DOAS [W],PERIMETER_ZN_4 ZN::Des Sens Cool Load No DOAS [W],PERIMETER_ZN_4 ZN::Des Latent Heat Load No DOAS [W],PERIMETER_ZN_4 ZN::Des Latent Cool Load No DOAS [W],PERIMETER_ZN_4 ZN:TAMPA-MACDILL.AFB_FL_USA ANN HTG 99.6% CONDNS DB:Heating Zone Temperature [C],PERIMETER_ZN_4 ZN:TAMPA-MACDILL.AFB_FL_USA ANN HTG 99.6% CONDNS DB:Heating Zone Relative Humidity [%],PERIMETER_ZN_4 ZN:TAMPA-MACDILL.AFB_FL_USA ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Temperature [C],PERIMETER_ZN_4 ZN:TAMPA-MACDILL.AFB_FL_USA ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Relative Humidity [%]
00:10:00,1.041640E+03,2.832156E+03,5.407198E-02,2.497817E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110843E+01,4.103933E+01,2.388700E+01,5.606171E+01,2.149486E+03,2.447276E+03,1.115752E-01,2.158422E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110750E+01,4.403887E+01,2.388675E+01,5.598250E+01,1.295115E+03,1.554285E+03,6.722663E-02,1.370831E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110749E+01,4.396707E+01,2.388676E+01,5.557731E+01,2.100028E+03,2.429198E+03,1.090080E-01,2.142481E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110750E+01,4.388740E+01,2.388674E+01,5.607990E+01,1.292618E+03,1.652670E+03,6.709702E-02,1.457601E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110749E+01,4.395883E+01,2.388677E+01,5.512667E+01
00:20:00,1.040894E+03,2.828273E+03,5.403326E-02,2.494392E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110843E+01,4.103955E+01,2.388700E+01,5.607188E+01,2.149190E+03,2.436807E+03,1.115599E-01,2.149188E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110750E+01,4.403892E+01,2.388676E+01,5.600471E+01,1.294956E+03,1.546692E+03,6.721836E-02,1.364134E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110749E+01,4.396711E+01,2.388676E+01,5.560225E+01,2.099729E+03,2.419034E+03,1.089924E-01,2.133515E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110750E+01,4.388744E+01,2.388674E+01,5.610115E+01,1.292458E+03,1.642010E+03,6.708873E-02,1.448199E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110749E+01,4.395887E+01,2.388677E+01,5.516231E+01
00:30:00,1.040153E+03,2.824433E+03,5.399480E-02,2.491006E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110843E+01,4.103976E+01,2.388700E+01,5.608193E+01,2.148897E+03,2.426564E+03,1.115446E-01,2.140153E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110750E+01,4.403896E+01,2.388676E+01,5.602665E+01,1.294798E+03,1.539260E+03,6.721015E-02,1.357578E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110749E+01,4.396714E+01,2.388677E+01,5.562696E+01,2.099432E+03,2.409098E+03,1.089770E-01,2.124752E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110750E+01,4.388749E+01,2.388674E+01,5.612211E+01,1.292300E+03,1.631714E+03,6.708051E-02,1.439119E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110749E+01,4.395891E+01,2.388678E+01,5.519704E+01
00:40:00,1.039417E+03,2.820635E+03,5.395658E-02,2.487656E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110843E+01,4.103997E+01,2.388700E+01,5.609189E+01,2.148605E+03,2.416538E+03,1.115295E-01,2.131310E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110750E+01,4.403900E+01,2.388676E+01,5.604831E+01,1.294641E+03,1.531982E+03,6.720200E-02,1.351158E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110749E+01,4.396718E+01,2.388677E+01,5.565142E+01,2.099137E+03,2.399382E+03,1.089617E-01,2.116182E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110750E+01,4.388753E+01,2.388675E+01,5.614279E+01,1.292143E+03,1.621758E+03,6.707234E-02,1.430337E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110749E+01,4.395895E+01,2.388678E+01,5.523092E+01
00:50:00,1.038686E+03,2.816874E+03,5.391862E-02,2.484339E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110843E+01,4.104017E+01,2.388700E+01,5.610175E+01,2.148316E+03,2.406722E+03,1.115145E-01,2.122651E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110750E+01,4.403904E+01,2.388677E+01,5.606970E+01,1.294485E+03,1.524852E+03,6.719391E-02,1.344870E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110749E+01,4.396722E+01,2.388677E+01,5.567561E+01,2.098844E+03,2.389878E+03,1.089465E-01,2.107798E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110750E+01,4.388757E+01,2.388675E+01,5.616317E+01,1.291987E+03,1.612118E+03,6.706424E-02,1.421835E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110749E+01,4.395899E+01,2.388678E+01,5.526395E+01
01:00:00,1.037959E+03,2.813148E+03,5.388090E-02,2.481053E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110843E+01,4.104038E+01,2.388700E+01,5.611153E+01,2.148029E+03,2.397108E+03,1.114996E-01,2.114171E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110750E+01,4.403908E+01,2.388677E+01,5.609080E+01,1.294330E+03,1.517866E+03,6.718589E-02,1.338708E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110749E+01,4.396726E+01,2.388678E+01,5.569949E+01,2.098553E+03,2.380577E+03,1.089314E-01,2.099595E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110750E+01,4.388761E+01,2.388676E+01,5.618324E+01,1.291832E+03,1.602775E+03,6.705619E-02,1.413594E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110749E+01,4.395902E+01,2.388679E+01,5.529615E+01
01:10:00,1.038008E+03,2.809617E+03,5.388343E-02,2.477939E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110843E+01,4.104059E+01,2.388700E+01,5.612124E+01,2.148049E+03,2.387810E+03,1.115006E-01,2.105970E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110750E+01,4.403912E+01,2.388678E+01,5.611162E+01,1.294341E+03,1.511083E+03,6.718645E-02,1.332725E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110749E+01,4.396729E+01,2.388678E+01,5.572306E+01,2.098574E+03,2.371590E+03,1.089325E-01,2.091667E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110750E+01,4.388766E+01,2.388676E+01,5.620299E+01,1.291843E+03,1.593776E+03,6.705676E-02,1.405656E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110749E+01,4.395906E+01,2.388679E+01,5.532757E+01
01:20:00,1.038056E+03,2.806118E+03,5.388595E-02,2.474853E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110843E+01,4.104079E+01,2.388700E+01,5.613087E+01,2.148069E+03,2.378759E+03,1.115017E-01,2.097987E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110750E+01,4.403917E+01,2.388678E+01,5.613231E+01,1.294352E+03,1.504467E+03,6.718702E-02,1.326889E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110749E+01,4.396733E+01,2.388679E+01,5.574659E+01,2.098594E+03,2.362846E+03,1.089336E-01,2.083955E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110750E+01,4.388770E+01,2.388676E+01,5.622266E+01,1.291853E+03,1.585071E+03,6.705733E-02,1.397979E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110749E+01,4.395910E+01,2.388679E+01,5.535851E+01
01:30:00,1.038104E+03,2.802648E+03,5.388844E-02,2.471793E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110843E+01,4.104099E+01,2.388700E+01,5.614043E+01,2.148089E+03,2.369952E+03,1.115027E-01,2.090218E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110750E+01,4.403921E+01,2.388678E+01,5.615295E+01,1.294363E+03,1.498014E+03,6.718758E-02,1.321198E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110749E+01,4.396736E+01,2.388679E+01,5.577017E+01,2.098614E+03,2.354343E+03,1.089346E-01,2.076455E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110750E+01,4.388774E+01,2.388677E+01,5.624231E+01,1.291864E+03,1.576649E+03,6.705789E-02,1.390550E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110749E+01,4.395913E+01,2.388680E+01,5.538912E+01
01:40:00,1.038152E+03,2.799209E+03,5.389092E-02,2.468760E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110843E+01,4.104120E+01,2.388700E+01,5.614993E+01,2.148109E+03,2.361385E+03,1.115037E-01,2.082663E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110750E+01,4.403924E+01,2.388678E+01,5.617350E+01,1.294374E+03,1.491724E+03,6.718813E-02,1.315650E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110749E+01,4.396740E+01,2.388679E+01,5.579375E+01,2.098634E+03,2.346077E+03,1.089356E-01,2.069163E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110750E+01,4.388778E+01,2.388677E+01,5.626189E+01,1.291875E+03,1.568497E+03,6.705844E-02,1.383360E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110749E+01,4.395917E+01,2.388680E+01,5.541936E+01
01:50:00,1.038199E+03,2.795800E+03,5.389338E-02,2.465753E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110843E+01,4.104140E+01,2.388700E+01,5.615936E+01,2.148129E+03,2.353058E+03,1.115048E-01,2.075318E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110750E+01,4.403928E+01,2.388679E+01,5.619389E+01,1.294384E+03,1.485595E+03,6.718868E-02,1.310243E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110749E+01,4.396743E+01,2.388680E+01,5.581722E+01,2.098654E+03,2.338045E+03,1.089367E-01,2.062079E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110750E+01,4.388782E+01,2.388677E+01,5.628133E+01,1.291886E+03,1.560607E+03,6.705900E-02,1.376400E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110749E+01,4.395920E+01,2.388680E+01,5.544914E+01
02:00:00,1.038246E+03,2.792421E+03,5.389583E-02,2.462773E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110843E+01,4.104159E+01,2.388700E+01,5.616871E+01,2.148148E+03,2.344969E+03,1.115058E-01,2.068183E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110750E+01,4.403932E+01,2.388679E+01,5.621408E+01,1.294395E+03,1.479624E+03,6.718923E-02,1.304977E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110749E+01,4.396747E+01,2.388680E+01,5.584050E+01,2.098674E+03,2.330245E+03,1.089377E-01,2.055200E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110750E+01,4.388786E+01,2.388678E+01,5.630057E+01,1.291896E+03,1.552967E+03,6.705954E-02,1.369662E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110749E+01,4.395924E+01,2.388680E+01,5.547840E+01
02:10:00,1.038293E+03,2.789073E+03,5.389826E-02,2.459820E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110843E+01,4.104179E+01,2.388700E+01,5.617801E+01,2.148167E+03,2.337055E+03,1.115068E-01,2.061202E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110750E+01,4.403936E+01,2.388679E+01,5.623404E+01,1.294405E+03,1.473777E+03,6.718977E-02,1.299819E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110749E+01,4.396751E+01,2.388680E+01,5.586353E+01,2.098693E+03,2.322620E+03,1.089387E-01,2.048473E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110750E+01,4.388790E+01,2.388678E+01,5.631956E+01,1.291907E+03,1.545536E+03,6.706009E-02,1.363108E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110749E+01,4.395927E+01,2.388681E+01,5.550712E+01
02:20:00,1.038340E+03,2.785754E+03,5.390068E-02,2.456893E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110843E+01,4.104199E+01,2.388700E+01,5.618723E+01,2.148187E+03,2.329315E+03,1.115078E-01,2.054375E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110750E+01,4.403940E+01,2.388679E+01,5.625383E+01,1.294416E+03,1.468052E+03,6.719031E-02,1.294770E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110749E+01,4.396754E+01,2.388680E+01,5.588643E+01,2.098713E+03,2.315166E+03,1.089397E-01,2.041899E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110750E+01,4.388794E+01,2.388678E+01,5.633841E+01,1.291917E+03,1.538306E+03,6.706063E-02,1.356731E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110749E+01,4.395931E+01,2.388681E+01,5.553543E+01
02:30:00,1.038386E+03,2.782466E+03,5.390307E-02,2.453993E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110843E+01,4.104218E+01,2.388700E+01,5.619639E+01,2.148206E+03,2.321748E+03,1.115088E-01,2.047701E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110750E+01,4.403944E+01,2.388680E+01,5.627347E+01,1.294426E+03,1.462449E+03,6.719085E-02,1.289828E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110749E+01,4.396757E+01,2.388681E+01,5.590923E+01,2.098732E+03,2.307882E+03,1.089407E-01,2.035474E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110750E+01,4.388798E+01,2.388678E+01,5.635715E+01,1.291927E+03,1.531271E+03,6.706116E-02,1.350526E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110749E+01,4.395934E+01,2.388681E+01,5.556340E+01
